,ID,LIMIT_BAL,SEX,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6
0,1,20000.0,female,3913.0,3102.0,689.0,0.0,0.0,0.0
1,2,120000.0,,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0
2,3,90000.0,female,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0
3,4,50000.0,female,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0
4,5,50000.0,male,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0
5,6,50000.0,male,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0
6,7,500000.0,male,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0
7,8,100000.0,female,11876.0,380.0,601.0,221.0,-159.0,567.0
8,9,140000.0,,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0
9,10,20000.0,male,0.0,0.0,0.0,0.0,13007.0,13912.0
10,11,200000.0,female,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0
11,12,260000.0,,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0
12,13,630000.0,female,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0
13,14,-,male,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0
14,15,250000.0,male,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0
15,1,20000.0,female,3913.0,3102.0,689.0,0.0,0.0,0.0
16,17,20000.0,male,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0
17,18,320000.0,male,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0
18,19,-,female,0.0,0.0,0.0,0.0,0.0,0.0
19,20,180000.0,female,0.0,0.0,0.0,0.0,0.0,0.0
20,21,130000.0,female,38358.0,27688.0,24489.0,20616.0,11802.0,930.0
21,22,120000.0,,316.0,316.0,316.0,0.0,632.0,316.0
22,23,-,female,41087.0,42445.0,45020.0,44006.0,46905.0,46012.0
23,24,450000.0,female,5512.0,19420.0,1473.0,560.0,0.0,0.0
24,25,-,male,4744.0,7070.0,0.0,5398.0,6360.0,8292.0
25,26,50000.0,male,47620.0,41810.0,36023.0,28967.0,29829.0,30046.0
26,27,60000.0,male,-109.0,-425.0,259.0,-57.0,127.0,-189.0
27,28,50000.0,female,22541.0,16138.0,17163.0,17878.0,18931.0,19617.0
28,29,50000.0,female,650.0,3415.0,3416.0,2040.0,30430.0,257.0
29,30,50000.0,male,15329.0,16575.0,17496.0,17907.0,18375.0,11400.0
30,31,230000.0,female,16646.0,17265.0,13266.0,15339.0,14307.0,36923.0
31,32,50000.0,,30518.0,29618.0,22102.0,22734.0,23217.0,23680.0
32,33,100000.0,male,93036.0,84071.0,82880.0,80958.0,78703.0,75589.0
33,34,500000.0,female,10929.0,4152.0,22722.0,7521.0,71439.0,8981.0
34,35,500000.0,male,13709.0,5006.0,31130.0,3180.0,0.0,5293.0
35,6,50000.0,male,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0
36,37,-,male,186503.0,181328.0,180422.0,170410.0,173901.0,177413.0
37,38,60000.0,female,15054.0,9806.0,11068.0,6026.0,-28335.0,18660.0
38,39,50000.0,male,0.0,780.0,0.0,0.0,0.0,0.0
39,40,280000.0,male,498.0,9075.0,4641.0,9976.0,17976.0,9477.0
40,41,360000.0,male,218668.0,221296.0,206895.0,628699.0,195969.0,179224.0
41,42,70000.0,female,67521.0,66999.0,63949.0,63699.0,64718.0,65970.0
42,43,10000.0,male,1877.0,3184.0,6003.0,3576.0,3670.0,4451.0
43,44,140000.0,female,59504.0,61544.0,62925.0,64280.0,67079.0,69802.0
44,45,40000.0,female,18927.0,21295.0,25921.0,25209.0,26636.0,29197.0
45,46,210000.0,male,0.0,0.0,0.0,0.0,0.0,0.0
46,47,20000.0,,14028.0,16484.0,15800.0,16341.0,16675.0,0.0
47,48,150000.0,female,4463.0,3034.0,1170.0,1170.0,0.0,0.0
48,49,380000.0,,22401.0,21540.0,15134.0,32018.0,11849.0,11873.0
49,50,-,male,17447.0,18479.0,19476.0,19865.0,20480.0,20063.0
50,16,50000.0,female,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0
51,36,160000.0,male,30265.0,-131.0,-527.0,-923.0,-1488.0,-1884.0
