,ID,LIMIT_BAL,EDUCATION,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
0,1,20000.0,2,0.0,689.0,0.0,0.0,0.0,0.0
1,2,120000.0,2,0.0,1000.0,1000.0,1000.0,0.0,2000.0
2,3,90000.0,Null,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0
3,4,-,2,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0
4,5,50000.0,2,2000.0,36681.0,10000.0,9000.0,689.0,679.0
5,6,50000.0,1,2500.0,1815.0,657.0,1000.0,1000.0,800.0
6,7,-,1,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0
7,8,100000.0,2,380.0,601.0,0.0,581.0,1687.0,1542.0
8,9,140000.0,3,3329.0,0.0,432.0,1000.0,1000.0,1000.0
9,10,20000.0,Null,0.0,0.0,0.0,13007.0,1122.0,0.0
10,11,200000.0,3,2306.0,12.0,50.0,300.0,3738.0,66.0
11,12,260000.0,1,21818.0,9966.0,8583.0,22301.0,0.0,3640.0
12,13,630000.0,Null,1000.0,6500.0,6500.0,6500.0,2870.0,0.0
13,14,70000.0,2,3200.0,0.0,3000.0,3000.0,1500.0,0.0
14,15,250000.0,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
15,16,50000.0,3,0.0,1500.0,1100.0,1200.0,1300.0,1100.0
16,17,20000.0,1,3200.0,0.0,1500.0,0.0,1650.0,0.0
17,18,320000.0,1,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0
18,19,360000.0,1,0.0,0.0,0.0,0.0,0.0,0.0
19,20,180000.0,1,0.0,0.0,0.0,0.0,0.0,0.0
20,21,130000.0,3,3000.0,1537.0,1000.0,2000.0,930.0,33764.0
21,22,120000.0,2,316.0,316.0,0.0,632.0,316.0,0.0
22,23,70000.0,2,2007.0,3582.0,0.0,3601.0,0.0,1820.0
23,24,450000.0,Null,19428.0,1473.0,560.0,0.0,0.0,1128.0
24,25,90000.0,1,5757.0,0.0,5398.0,1200.0,2045.0,2000.0
25,26,50000.0,3,1973.0,1426.0,1001.0,1432.0,1062.0,997.0
26,27,-,1,0.0,1000.0,0.0,500.0,0.0,1000.0
27,28,-,3,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0
28,29,50000.0,3,3415.0,3421.0,2044.0,30430.0,257.0,0.0
29,30,50000.0,1,1500.0,1500.0,1000.0,1000.0,1600.0,0.0
30,31,230000.0,1,17270.0,13281.0,15339.0,14307.0,37292.0,0.0
31,32,50000.0,2,1718.0,1500.0,1000.0,1000.0,1000.0,716.0
32,33,100000.0,Null,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0
33,34,500000.0,2,4152.0,22827.0,7521.0,71439.0,981.0,51582.0
34,35,500000.0,1,5006.0,31178.0,3180.0,0.0,5293.0,768.0
35,1,20000.0,2,0.0,689.0,0.0,0.0,0.0,0.0
36,37,280000.0,2,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0
37,38,-,2,1500.0,1518.0,2043.0,0.0,47671.0,617.0
38,39,50000.0,1,780.0,0.0,0.0,0.0,0.0,0.0
39,40,280000.0,1,9075.0,0.0,9976.0,8000.0,9525.0,781.0
40,41,360000.0,1,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0
41,42,70000.0,Null,3000.0,4500.0,4042.0,2500.0,2800.0,2500.0
42,43,10000.0,2,1500.0,2927.0,1000.0,300.0,1000.0,500.0
43,44,140000.0,Null,3000.0,3000.0,3000.0,4000.0,4000.0,3000.0
44,45,40000.0,1,3000.0,5000.0,0.0,2000.0,3000.0,0.0
45,4,-,2,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0
46,47,20000.0,1,3000.0,0.0,16741.0,334.0,0.0,0.0
47,48,-,5,1013.0,1170.0,0.0,0.0,0.0,0.0
48,49,380000.0,2,21540.0,15138.0,24677.0,11851.0,11875.0,8251.0
49,50,20000.0,1,1318.0,1315.0,704.0,928.0,912.0,1069.0
50,36,160000.0,1,131.0,396.0,396.0,565.0,792.0,0.0
51,46,210000.0,1,0.0,0.0,0.0,0.0,0.0,0.0
