,ID,SEX,EDUCATION,MARRIAGE,AGE,default.payment.next.month
0,1,2,2,1,24,1
1,2,2,2,2,26,1
2,3,2,2,2,34,0
3,4,2,,1,37,0
4,5,1,2,1,57,0
5,6,1,1,2,37,0
6,7,1,,2,29,0
7,8,2,2,2,23,0
8,9,2,3,1,28,0
9,10,1,3,2,35,0
10,11,2,3,2,,0
11,12,2,1,2,51,0
12,13,2,2,2,41,0
13,14,Nan,2,2,30,1
14,15,1,1,2,29,0
15,16,2,3,3,23,0
16,17,1,1,2,24,1
17,18,1,1,1,49,0
18,19,Nan,1,1,49,0
19,20,2,1,2,29,0
20,21,2,3,2,39,0
21,22,2,2,1,39,1
22,23,Nan,2,2,26,1
23,24,2,1,1,40,1
24,25,Nan,1,2,23,0
25,26,1,3,2,,0
26,27,1,,2,27,1
27,28,2,,2,30,0
28,29,2,3,1,47,0
29,30,1,1,2,26,0
30,31,2,1,2,,0
31,32,1,2,2,33,1
32,33,1,1,2,32,0
33,34,2,2,1,,0
34,35,1,1,1,58,0
35,36,1,1,2,30,0
36,37,Nan,2,1,40,0
37,38,2,,2,22,0
38,39,1,1,2,25,1
39,40,1,1,2,31,0
40,41,1,1,2,33,0
41,42,2,1,2,25,0
42,43,1,2,2,,0
43,44,2,2,1,,0
44,45,2,1,2,30,0
45,46,1,1,2,29,1
46,47,2,1,2,22,1
47,48,2,,2,46,1
48,49,1,2,2,32,0
49,50,Nan,1,2,24,0
