id,ws_token,oc,total,estado,response,fecha,fetchtbk,cod_aut,t_tarjeta,n_ctas,c_ctas,n_tarjetas
1,,82,213763,pendiente,0,18/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
2,,83,100321,pendiente,0,18/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
3,,84,297080,pendiente,0,18/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
4,,85,297080,pendiente,0,18/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
5,,86,297080,pendiente,0,18/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
6,,87,297080,aceptada,0,18/05/2020,2020-05-18T18:00:52.883-04:00,,VN,0,,6623
7,,88,297080,aceptada,0,18/05/2020,2020-05-18T18:02:32.546-04:00,1213,S2,2,148540,6623
8,,89,297080,aceptada,0,18/05/2020,2020-05-18T18:03:58.785-04:00,1213,SI,3,99027,6623
9,,90,297080,aceptada,0,18/05/2020,2020-05-18T18:06:30.835-04:00,1213,NC,4,74270,6623
10,,91,297080,aceptada,0,18/05/2020,2020-05-18T18:07:58.630-04:00,1213,VC,5,59426,6623
11,,92,297080,aceptada,0,18/05/2020,2020-05-18T18:09:07.895-04:00,1213,VC,6,49524,6623
12,,93,297080,aceptada,0,18/05/2020,2020-05-18T18:10:19.228-04:00,975537,VD,0,,1
13,,94,345112,aceptada,0,19/05/2020,2020-05-19T03:34:54.425-04:00,335311,VD,0,,1
14,,95,345112,aceptada,0,19/05/2020,2020-05-19T03:50:34.543-04:00,880125,VD,0,,1
15,,96,345112,aceptada,0,19/05/2020,2020-05-19T03:56:45.138-04:00,727096,VD,0,,1
16,,97,345112,aceptada,0,19/05/2020,2020-05-19T03:58:20.404-04:00,112553,VD,0,,1
17,,98,201125,pendiente,-1,19/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
18,,99,385534,pendiente,NULL,19/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
19,,100,414259,aceptada,0,20/05/2020,2020-05-20T09:51:12.407-04:00,495516,VD,0,,1
20,,101,414259,aceptada,0,20/05/2020,2020-05-20T09:52:16.924-04:00,291887,VD,0,,1
21,,102,418989,pendiente,NULL,20/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
22,,103,176990,pendiente,NULL,21/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
23,,104,176990,rechazada,-1,21/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
24,,105,176990,rechazada,-1,21/05/2020,NULL,NULL,NULL,NULL,NULL,NULL
25,,106,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
26,,107,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
27,,108,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
28,,109,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
29,,110,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
30,,111,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
31,,112,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
32,,113,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
33,,114,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
34,,115,297080,pendiente,NULL,3/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
35,,116,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
36,,117,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
37,,118,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
38,,119,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
39,,120,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
40,,121,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
41,,122,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
42,,123,244459,pendiente,NULL,9/6/2020,NULL,NULL,NULL,NULL,NULL,NULL
